Query Sequence	GO:EggNOG GO Molecular
jg11954.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg11954.t1	GO:0016876-ligase activity, forming aminoacyl-tRNA and related compounds(L=4)
jg11954.t1	GO:0046872-metal ion binding(L=4)
jg11663.t1	GO:0004364-glutathione transferase activity(L=4)
jg11663.t1	GO:0031406-carboxylic acid binding(L=4)
jg11663.t1	GO:0046872-metal ion binding(L=4)
jg11663.t1	GO:1900750-oligopeptide binding(L=4)
jg11959.t1	GO:0046872-metal ion binding(L=4)
jg12437.t1	GO:0004518-nuclease activity(L=4)
jg12437.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg11693.t1	GO:0046872-metal ion binding(L=4)
jg12058.t1	GO:0001883-purine nucleoside binding(L=4)
jg12058.t1	GO:0008236-serine-type peptidase activity(L=4)
jg12058.t1	GO:0016301-kinase activity(L=4)
jg12058.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg12058.t1	GO:0017076-purine nucleotide binding(L=4)
jg12058.t1	GO:0032549-ribonucleoside binding(L=4)
jg12058.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12058.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12058.t1	GO:0042803-protein homodimerization activity(L=4)
jg12058.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg12295.t1	GO:0004364-glutathione transferase activity(L=4)
jg11475.t1	GO:0008168-methyltransferase activity(L=4)
jg11417.t1	GO:0003723-RNA binding(L=4)
jg11417.t1	GO:0016301-kinase activity(L=4)
jg11417.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg11417.t1	GO:0016775-phosphotransferase activity, nitrogenous group as acceptor(L=4)
jg12176.t1	GO:0003723-RNA binding(L=4)
jg12176.t1	GO:0046872-metal ion binding(L=4)
jg12080.t1	GO:0001883-purine nucleoside binding(L=4)
jg12080.t1	GO:0003677-DNA binding(L=4)
jg12080.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12080.t1	GO:0017076-purine nucleotide binding(L=4)
jg12080.t1	GO:0032549-ribonucleoside binding(L=4)
jg12080.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12080.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11454.t1	GO:0046872-metal ion binding(L=4)
jg12402.t1	GO:0003723-RNA binding(L=4)
jg12402.t1	GO:0016706-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors(L=4)
jg12402.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg12402.t1	GO:0019888-protein phosphatase regulator activity(L=4)
jg12402.t1	GO:0042578-phosphoric ester hydrolase activity(L=4)
jg12402.t1	GO:0046872-metal ion binding(L=4)
jg11687.t1	GO:0016301-kinase activity(L=4)
jg12132.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg12132.t1	GO:0046872-metal ion binding(L=4)
jg11494.t1	GO:0016831-carboxy-lyase activity(L=4)
jg11494.t1	GO:0046872-metal ion binding(L=4)
jg12047.t1	GO:0016747-transferase activity, transferring acyl groups other than amino-acyl groups(L=4)
jg12373.t1	GO:0045330-aspartyl esterase activity(L=4)
jg12373.t1	GO:0052689-carboxylic ester hydrolase activity(L=4)
jg11932.t1	GO:0003677-DNA binding(L=4)
jg11932.t1	GO:0046872-metal ion binding(L=4)
jg11545.t1	GO:0003677-DNA binding(L=4)
jg12322.t1	GO:0001883-purine nucleoside binding(L=4)
jg12322.t1	GO:0003677-DNA binding(L=4)
jg12322.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12322.t1	GO:0017076-purine nucleotide binding(L=4)
jg12322.t1	GO:0032549-ribonucleoside binding(L=4)
jg12322.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12322.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12521.t1	GO:0016713-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen(L=4)
jg12521.t1	GO:0020037-heme binding(L=4)
jg12521.t1	GO:0046872-metal ion binding(L=4)
jg11489.t1	GO:0003677-DNA binding(L=4)
jg12113.t1	GO:0046872-metal ion binding(L=4)
jg12113.t1	GO:0051537-2 iron, 2 sulfur cluster binding(L=4)
jg12400.t1	GO:0003677-DNA binding(L=4)
jg12279.t1	GO:0003677-DNA binding(L=4)
jg12279.t1	GO:0003723-RNA binding(L=4)
jg11697.t1	GO:0001883-purine nucleoside binding(L=4)
jg11697.t1	GO:0017076-purine nucleotide binding(L=4)
jg11697.t1	GO:0032549-ribonucleoside binding(L=4)
jg11697.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11697.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11604.t1	GO:0043130-ubiquitin binding(L=4)
jg11604.t1	GO:0070011-peptidase activity, acting on L-amino acid peptides(L=4)
jg11604.t1	GO:0070628-proteasome binding(L=4)
jg11964.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg12491.t1	GO:0001883-purine nucleoside binding(L=4)
jg12491.t1	GO:0003723-RNA binding(L=4)
jg12491.t1	GO:0016779-nucleotidyltransferase activity(L=4)
jg12491.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12491.t1	GO:0017076-purine nucleotide binding(L=4)
jg12491.t1	GO:0032549-ribonucleoside binding(L=4)
jg12491.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12491.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12491.t1	GO:0046872-metal ion binding(L=4)
jg12574.t1	GO:0016861-intramolecular oxidoreductase activity, interconverting aldoses and ketoses(L=4)
jg12255.t1	GO:0003677-DNA binding(L=4)
jg11667.t1	GO:0001883-purine nucleoside binding(L=4)
jg11667.t1	GO:0003723-RNA binding(L=4)
jg11667.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg11667.t1	GO:0017076-purine nucleotide binding(L=4)
jg11667.t1	GO:0032549-ribonucleoside binding(L=4)
jg11667.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11667.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11692.t1	GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds(L=4)
jg11949.t1	GO:0046872-metal ion binding(L=4)
jg11410.t1	GO:0005347-ATP transmembrane transporter activity(L=4)
jg11410.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg11410.t1	GO:0015211-purine nucleoside transmembrane transporter activity(L=4)
jg11410.t1	GO:0015932-nucleobase-containing compound transmembrane transporter activity(L=4)
jg12149.t1	GO:0003677-DNA binding(L=4)
jg12417.t1	GO:0001883-purine nucleoside binding(L=4)
jg12417.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg12417.t1	GO:0015291-secondary active transmembrane transporter activity(L=4)
jg12417.t1	GO:0016301-kinase activity(L=4)
jg12417.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg12417.t1	GO:0017076-purine nucleotide binding(L=4)
jg12417.t1	GO:0032549-ribonucleoside binding(L=4)
jg12417.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12417.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12475.t1	GO:0015075-ion transmembrane transporter activity(L=4)
jg12475.t1	GO:0015267-channel activity(L=4)
jg12475.t1	GO:0017076-purine nucleotide binding(L=4)
jg12475.t1	GO:0022838-substrate-specific channel activity(L=4)
jg12475.t1	GO:0030551-cyclic nucleotide binding(L=4)
jg12475.t1	GO:0030552-cAMP binding(L=4)
jg12475.t1	GO:0030553-cGMP binding(L=4)
jg12475.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11682.t1	GO:0004364-glutathione transferase activity(L=4)
jg11682.t1	GO:0031406-carboxylic acid binding(L=4)
jg11682.t1	GO:0046872-metal ion binding(L=4)
jg11682.t1	GO:1900750-oligopeptide binding(L=4)
jg11426.t1	GO:0030695-GTPase regulator activity(L=4)
jg11639.t1	GO:0001883-purine nucleoside binding(L=4)
jg11639.t1	GO:0017076-purine nucleotide binding(L=4)
jg11639.t1	GO:0032549-ribonucleoside binding(L=4)
jg11639.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11639.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg11668.t1	GO:0046872-metal ion binding(L=4)
jg11721.t1	GO:0035064-methylated histone binding(L=4)
jg11721.t1	GO:0046872-metal ion binding(L=4)
jg12151.t1	GO:0001883-purine nucleoside binding(L=4)
jg12151.t1	GO:0016818-hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(L=4)
jg12151.t1	GO:0017076-purine nucleotide binding(L=4)
jg12151.t1	GO:0032549-ribonucleoside binding(L=4)
jg12151.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12151.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12151.t1	GO:0046872-metal ion binding(L=4)
jg11908.t1	GO:0001883-purine nucleoside binding(L=4)
jg11908.t1	GO:0016836-hydro-lyase activity(L=4)
jg11908.t1	GO:0017076-purine nucleotide binding(L=4)
jg11908.t1	GO:0032549-ribonucleoside binding(L=4)
jg11908.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg11908.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
jg12137.t1	GO:0001883-purine nucleoside binding(L=4)
jg12137.t1	GO:0016301-kinase activity(L=4)
jg12137.t1	GO:0016773-phosphotransferase activity, alcohol group as acceptor(L=4)
jg12137.t1	GO:0017076-purine nucleotide binding(L=4)
jg12137.t1	GO:0032549-ribonucleoside binding(L=4)
jg12137.t1	GO:0032555-purine ribonucleotide binding(L=4)
jg12137.t1	GO:0035639-purine ribonucleoside triphosphate binding(L=4)
