#node	identifier	domain_summary_url	annotation	other_names_and_aliases
GH3-2	3218.PP1S67_243V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=599:Pfam_GH3(22|565)+	GH3-like protein 1	5927524,A9SDD8,E1C9W5,E1C9W5_PHYPA,EDQ70873.1,GH3-2,GH3-like protein,GH3-like protein 1,PHYPADRAFT_106250,PP1S67_243V6,PP1S67_243V6.1,PP1S67_243V6.2,PUT-163a-Physcomitrella_patens-52367,PUT-163a-Physcomitrella_patens-8703,PpGH3L1,Ppa.14180,Ppa.16783,Ppa.171,Predicted protein,Q948Q3,Q948Q3_PHYPA,UPI00000A7DE6,UPI00024AF978,XM_001764267,XM_001764267.1,XP_001764319,XP_001764319.1,gh3-2,ppp:PHYPADRAFT_106250
GLP1	3218.PP1S25_331V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=336:Pfam_Chlorophyllase2(89|234)+	GLP1 GID1-like protein 	3.-.-.-,5920144,A9LY13,A9LY13_PHYPA,A9RSF8,E1C9S8,E1C9S8_PHYPA,EC 3.-.-.-,EDQ78297.1,GLP1,GLP1 GID1-like protein,Gibberellin receptor GID1-like protein,PHYPADRAFT_118478,PP1S25_331V6,PP1S25_331V6.1,PUT-163a-Physcomitrella_patens-52550,Ppa.16494,UPI00015FF416,XM_001757014,XM_001757014.1,XP_001757066,XP_001757066.1,ppp:PHYPADRAFT_118478
GOS1A1	3218.PP1S15_440V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=229:COIL(49|76)+Pfam_V-SNARE_C(139|204)+TRANS(209|228)+	Golgi SNAP receptor complex member 1; Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor	5918108,A9RLI3,A9RLI3_PHYPA,EDQ80436.1,GOS1A1,Golgi SNAP receptor complex member 1,PHYPADRAFT_159826,PP1S15_440V6,PP1S15_440V6.1,PP1S15_440V6.2,PUT-163a-Physcomitrella_patens-25351,Ppa.10526,Qb-SNARE, GOS1/GS28-family,UPI000161FCD6,XM_001754930,XM_001754930.1,XP_001754982,XP_001754982.1,ppp:PHYPADRAFT_159826
GSTF3	3218.PP1S26_72V6.5	https://smart.embl.de/smart/DDvec.cgi?smart=222:Pfam_GST_N(1|79)+Pfam_GST_C(110|205)+	Phi class glutathione S-transferase; Belongs to the GST superfamily	2.5.1.18,5920405,A9RSP0,A9RSP0_PHYPA,EC 2.5.1.18,EDQ78057.1,GSTF3,K9Y498,PHYPADRAFT_177778,PP1S26_72V6,PP1S26_72V6.1,PP1S26_72V6.2,PP1S26_72V6.3,PP1S26_72V6.4,PP1S26_72V6.5,PUT-163a-Physcomitrella_patens-10907,PUT-163a-Physcomitrella_patens-17640,PUT-163a-Physcomitrella_patens-20019,PUT-163a-Physcomitrella_patens-22323,PUT-163a-Physcomitrella_patens-33198,PUT-163a-Physcomitrella_patens-41173,PUT-163a-Physcomitrella_patens-58954639,PUT-163a-Physcomitrella_patens-58954640,PUT-163a-Physcomitrella_patens-58954641,PUT-163a-Physcomitrella_patens-59054632,PUT-163a-Physcomitrella_patens-59054633,PUT-163a-Physcomitrella_patens-59054634,PUT-163a-Physcomitrella_patens-59054635,PUT-163a-Physcomitrella_patens-59054636,PUT-163a-Physcomitrella_patens-61954632,PUT-163a-Physcomitrella_patens-61954633,PUT-163a-Physcomitrella_patens-61954635,PUT-163a-Physcomitrella_patens-61954636,PUT-163a-Physcomitrella_patens-61954637,Phi class glutathione S-transferase,Ppa.4452,Predicted protein,UPI0001620594,XM_001757146,XM_001757146.1,XP_001757198,XP_001757198.1,ppp:PHYPADRAFT_177778
HPL1	3218.PP1S72_301V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=532:Pfam_p450(303|527)+	Hydroperoxide lyase	4.2.1.92,5928247,A9SF93,E1C9S5,E1C9S5_PHYPA,EC 4.2.1.92,EDQ70201.1,HPL1,Hydroperoxide lyase,PHYPADRAFT_211721,PP1S72_301V6,PP1S72_301V6.1,PUT-163a-Physcomitrella_patens-29712,PUT-163a-Physcomitrella_patens-29769,PUT-163a-Physcomitrella_patens-29770,PUT-163a-Physcomitrella_patens-49571,Ppa.1179,Ppa.17958,Predicted protein,Q8L6G1,Q8L6G1_PHYPA,UPI000005E8EC,XM_001764933,XM_001764933.1,XP_001764985,XP_001764985.1,hpl,hypothetical protein,ppp:PHYPADRAFT_211721
HTA1504	3218.PP1S117_154V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=148:H2A(4|124)+	Histone H2A 	5932907,A9STN0,A9STN0_PHYPA,EDQ65478.1,HTA1504,Histone H2A,PHYPADRAFT_135118,PP1S117_154V6,PP1S117_154V6.1,UPI0001622FC7,XM_001769625,XM_001769625.1,XP_001769677,XP_001769677.1,histone H2A,ppp:PHYPADRAFT_135118
HTA1505	3218.PP1S452_4V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=140:H2A(7|127)+	Histone H2A 	5948431,A9U2Y0,A9U2Y0_PHYPA,EDQ49957.1,HTA1505,Histone H2A,PHYPADRAFT_109257,PP1S452_4V6,PP1S452_4V6.1,PUT-163a-Physcomitrella_patens-40493,PUT-163a-Physcomitrella_patens-44735,PUT-163a-Physcomitrella_patens-6549,Ppa.6963,UPI00016274DF,XM_001785164,XM_001785164.1,XP_001785216,XP_001785216.1,histone H2A,ppp:PHYPADRAFT_109257
HTB1501	3218.PP1S117_2V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=136:H2B(39|135)+	Histone H2B 	5932848,A9STF4,A9STF4_PHYPA,EDQ65440.1,HTB1501,Histone H2B,PHYPADRAFT_58626,PP1S117_2V6,PP1S117_2V6.1,UPI0001623455,XM_001769587,XM_001769587.1,XP_001769639,XP_001769639.1,histone H2B,ppp:PHYPADRAFT_58626
HTB1502	3218.PP1S98_237V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=136:H2B(39|135)+	Histone H2B 	5931178,A9SNM3,A9SNM3_PHYPA,EDQ67293.1,HTB1502,Histone H2B,PHYPADRAFT_214250,PP1S98_237V6,PP1S98_237V6.1,PUT-163a-Physcomitrella_patens-25645,UPI0001623365,XM_001767966,XM_001767966.1,XP_001768018,XP_001768018.1,histone H2B,ppp:PHYPADRAFT_214250
HTB1507	3218.PP1S37_236V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=134:H2B(37|133)+	Histone H2B 	5922641,A9RZD8,A9RZD8_PHYPA,EDQ75721.1,HTB1507,Histone H2B,PHYPADRAFT_207182,PP1S37_236V6,PP1S37_236V6.1,PUT-163a-Physcomitrella_patens-9936,Ppa.6459,UPI0001620E48,XM_001759367,XM_001759367.1,XP_001759419,XP_001759419.1,hypothetical protein,ppp:PHYPADRAFT_207182
Mdhar2	3218.PP1S211_74V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=433:Pfam_Pyr_redox(165|248)+	Monodehydroascorbate reductase II	1.6.5.4,5939996,A9TDY1,E1C9N1,E1C9N1_PHYPA,EC 1.6.5.4,EDQ58380.1,Mdhar2,Monodehydroascorbate reductase II,PHYPADRAFT_169501,PP1S211_74V6,PP1S211_74V6.1,PP1S211_74V6.2,PP1S211_74V6.3,PP1S211_74V6.4,PUT-163a-Physcomitrella_patens-28054,PUT-163a-Physcomitrella_patens-28578,PUT-163a-Physcomitrella_patens-45434,PUT-163a-Physcomitrella_patens-65054640,PUT-163a-Physcomitrella_patens-65254635,PUT-163a-Physcomitrella_patens-65254636,PUT-163a-Physcomitrella_patens-65254637,Ppa.6405,Predicted protein,Q2I827,Q2I827_PHYPA,UPI0000695954,UPI00024AEE23,XM_001776778,XM_001776778.1,XP_001776830,XP_001776830.1,ppp:PHYPADRAFT_169501
MurD	3218.PP1S145_152V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=521:Pfam_Mur_ligase_M(164|350)+Pfam_Mur_ligase_C(372|449)+	UDP-N-acetylmuramoylalanine-D-glutamate ligase	5935252,A9T0E9,E1C9P1,E1C9P1_PHYPA,EDQ63126.1,MurD,PHYPADRAFT_167443,PP1S145_152V6,PP1S145_152V6.1,PUT-163a-Physcomitrella_patens-14644,Ppa.9947,Predicted protein,Q3LHF6,Q3LHF6_PHYPA,UDP-N-acetylmuramoylalanine-D-glutamate ligase,UPI00005C3DD1,XM_001771993,XM_001771993.1,XP_001772045,XP_001772045.1,ppp:PHYPADRAFT_167443
NFA1501	3218.PP1S340_43V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=393:Pfam_NAP(64|313)+	Nucleosome assembly protein family ; Belongs to the nucleosome assembly protein (NAP) family	5945975,A9TVZ4,A9TVZ4_PHYPA,EDQ52429.1,NFA1501,Nucleosome assembly protein family,PHYPADRAFT_225989,PP1S340_43V6,PP1S340_43V6.1,PP1S340_43V6.2,PUT-163a-Physcomitrella_patens-68254634,PUT-163a-Physcomitrella_patens-68254635,PUT-163a-Physcomitrella_patens-68254636,PUT-163a-Physcomitrella_patens-68254637,PUT-163a-Physcomitrella_patens-786,Ppa.5292,UPI0001627443,UPI00024B196E,XM_001782730,XM_001782730.1,XP_001782782,XP_001782782.1,nucleosome assembly protein family,ppp:PHYPADRAFT_225989
NFC1501	3218.PP1S12_351V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=422:Pfam_CAF1C_H4-bd(19|89)+WD40(115|154)+WD40(167|207)+WD40(217|257)+WD40(263|303)+WD40(307|347)+WD40(364|404)+	Nucleosome remodeling factor, p48 subunit 	5917315,A9RJC1,A9RJC1_PHYPA,EDQ81126.1,NFC1501,Nucleosome remodeling factor, p48 subunit,PHYPADRAFT_159414,PP1S12_351V6,PP1S12_351V6.1,PUT-163a-Physcomitrella_patens-28940,PUT-163a-Physcomitrella_patens-46546,PUT-163a-Physcomitrella_patens-48157,Ppa.5288,UPI000161F966,XM_001754173,XM_001754173.1,XP_001754225,XP_001754225.1,nucleosome remodeling factor, p48 subunit,ppp:PHYPADRAFT_159414
NPSN1A1	3218.PP1S105_191V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=259:COIL(32|71)+t_SNARE(136|203)+TRANS(213|230)+	Qb-SNARE, NPSN1-family 	5931973,A9SQW5,A9SQW5_PHYPA,EDQ66456.1,NPSN1A1,PHYPADRAFT_214784,PP1S105_191V6,PP1S105_191V6.1,PP1S105_191V6.2,PUT-163a-Physcomitrella_patens-17411,PUT-163a-Physcomitrella_patens-27558,PUT-163a-Physcomitrella_patens-5624,PUT-163a-Physcomitrella_patens-5649,Ppa.4801,Qb-SNARE, NPSN1-family,UPI000162310F,UPI00024B068E,XM_001768672,XM_001768672.1,XP_001768724,XP_001768724.1,ppp:PHYPADRAFT_214784
Nia1	3218.PP1S58_252V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=891:Pfam_Oxidored_molyb(136|314)+Pfam_Mo-co_dimer(341|474)+Cyt-b5(530|602)+Pfam_FAD_binding_6(640|747)+Pfam_NAD_binding_1(767|874)+	Nitrate reductase; Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria	1.7.1.1,1.7.1.2,1.7.1.3,5926227,A9S9L0,E1C9N0,E1C9N0_PHYPA,EC 1.7.1.1,EC 1.7.1.2,EC 1.7.1.3,EDQ72260.1,Nia1,Nitrate reductase,PHYPADRAFT_209989,PP1S58_252V6,PP1S58_252V6.1,PUT-163a-Physcomitrella_patens-44470,Ppa.985,Q4LEW9,Q4LEW9_PHYPA,UPI000054B40D,XM_001763003,XM_001763003.1,XP_001763055,XP_001763055.1,ppp:PHYPADRAFT_209989
PINA	3218.PP1S10_17V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=713:Pfam_Mem_trans(9|708)+	Auxin efflux carrier component; May act as a component of the auxin efflux carrier	5916928,A9RI03,Auxin efflux carrier component,E1C9S9,E1C9S9_PHYPA,EDQ81364.1,PHYPADRAFT_202504,PINA,PP1S10_17V6,PP1S10_17V6.1,PUT-163a-Physcomitrella_patens-24980,Q5TK28,Q5TK28_PHYPA,UPI000046F54E,XM_001753560,XM_001753560.1,XP_001753612,XP_001753612.1,pin,ppp:PHYPADRAFT_202504
PINB	3218.PP1S18_186V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=713:Pfam_Mem_trans(9|708)+	Auxin efflux carrier component; May act as a component of the auxin efflux carrier	5918857,A9RN82,A9RN82_PHYPA,Auxin efflux carrier component,EDQ79582.1,PHYPADRAFT_117036,PINB,PINB AtPIN5/6-like auxin efflux carrier protein,PP1S18_186V6,PP1S18_186V6.1,PUT-163a-Physcomitrella_patens-19391,UPI000161FBCA,XM_001755470,XM_001755470.1,XP_001755522,XP_001755522.1,ppp:PHYPADRAFT_117036
PLC1	3218.PP1S134_113V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=634:PLCXc(106|250)+PLCYc(362|480)+C2(500|608)+	Phosphoinositide phospholipase C; PLC1 phospholiase C 	5934399,A9SXU1,A9SXU1_PHYPA,DS545023,EDQ64005.1,PHYPADRAFT_216835,PLC1,PLC1 phospholiase C,PP1S134_113V6,PP1S134_113V6.1,PUT-163a-Physcomitrella_patens-27623,PUT-163a-Physcomitrella_patens-45941,PUT-163a-Physcomitrella_patens-53254638,PUT-163a-Physcomitrella_patens-53254639,PUT-163a-Physcomitrella_patens-53354634,PUT-163a-Physcomitrella_patens-53354635,Phosphoinositide phospholipase C,Ppa.10425,Ppa.1636,UPI0001623E59,XM_001771104,XM_001771104.1,XP_001771156,XP_001771156.1,ppp:PHYPADRAFT_216835
PP1S100_76V6.1	3218.PP1S100_76V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=788:CDT1(75|215)+Pfam_CDT1_C(667|761)+	Predicted protein	5931341,A9SP42,A9SP42_PHYPA,EDQ67045.1,PHYPADRAFT_82031,PP1S100_76V6,PP1S100_76V6.1,Predicted protein,UPI0001622F5B,XM_001768120,XM_001768120.1,XP_001768172,XP_001768172.1,ppp:PHYPADRAFT_82031
PP1S101_33V6.1	3218.PP1S101_33V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=246:Proteasome_A_N(9|31)+Pfam_Proteasome(32|220)+	Proteasome subunit alpha type; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH; Belongs to the peptidase T1A family	3.4.25.1,5931552,A9SPF1,A9SPF1_PHYPA,EC 3.4.25.1,EDQ66843.1,PHYPADRAFT_214423,PP1S101_33V6,PP1S101_33V6.1,PUT-163a-Physcomitrella_patens-47241,Ppa.6512,Proteasome subunit alpha type,UPI0001623270,XM_001768177,XM_001768177.1,XP_001768229,XP_001768229.1,ppp:PHYPADRAFT_214423
PP1S102_139V6.1	3218.PP1S102_139V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=182:UBCc(31|173)+	Predicted protein; Belongs to the ubiquitin-conjugating enzyme family	5931570,A9SPY9,A9SPY9_PHYPA,EDQ66805.1,PHYPADRAFT_214589,PP1S102_139V6,PP1S102_139V6.1,PUT-163a-Physcomitrella_patens-11592,PUT-163a-Physcomitrella_patens-1185,Ppa.8353,Predicted protein,UPI0001622FEE,XM_001768391,XM_001768391.1,XP_001768443,XP_001768443.1,ppp:PHYPADRAFT_214589
PP1S102_141V6.1	3218.PP1S102_141V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=395:ANX(27|79)+Pfam_Annexin(86|146)+ANX(210|262)+ANX(285|337)+	Annexin 	5931571,A9SPZ1,A9SPZ1_PHYPA,Annexin,EDQ66806.1,PHYPADRAFT_166103,PP1S102_141V6,PP1S102_141V6.1,PUT-163a-Physcomitrella_patens-11543,UPI0001622FF0,XP_001768444,XP_001768444.1,ppp:PHYPADRAFT_166103
PP1S102_148V6.1	3218.PP1S102_148V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=513:Pfam_DUF177(342|500)+	Predicted protein	5931572,A9SPZ6,A9SPZ6_PHYPA,EDQ66747.1,PHYPADRAFT_166104,PP1S102_148V6,PP1S102_148V6.1,PUT-163a-Physcomitrella_patens-21131,Predicted protein,UPI00024AF8CB,XP_001768385,XP_001768385.1,ppp:PHYPADRAFT_166104
PP1S104_128V6.1	3218.PP1S104_128V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=165:RL11(13|145)+	Predicted protein; Belongs to the universal ribosomal protein uL11 family	5931837,A9SQK0,A9SQK0_PHYPA,EDQ66533.1,PHYPADRAFT_187381,PP1S104_128V6,PP1S104_128V6.1,PUT-163a-Physcomitrella_patens-12254634,PUT-163a-Physcomitrella_patens-12454635,PUT-163a-Physcomitrella_patens-29469,Ppa.219,Predicted protein,UPI0001622DDC,XM_001768543,XM_001768543.1,XP_001768595,XP_001768595.1,ppp:PHYPADRAFT_187381
PP1S105_8V6.1	3218.PP1S105_8V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=582:ARM(196|236)+ARM(237|277)+ARM(278|318)+ARM(319|359)+ARM(361|402)+ARM(403|443)+ARM(444|484)+	Predicted protein	5931900,A9SQQ6,A9SQQ6_PHYPA,EDQ66422.1,PHYPADRAFT_187409,PP1S105_8V6,PP1S105_8V6.1,PUT-163a-Physcomitrella_patens-27610,PUT-163a-Physcomitrella_patens-34444,Ppa.12135,Predicted protein,UPI0001622F76,XM_001768638,XM_001768638.1,XP_001768690,XP_001768690.1,ppp:PHYPADRAFT_187409
PP1S106_134V6.1	3218.PP1S106_134V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=329:Brix(68|263)+	Predicted protein	5932060,A9SR48,A9SR48_PHYPA,EDQ66400.1,PHYPADRAFT_233825,PP1S106_134V6,PP1S106_134V6.1,PUT-163a-Physcomitrella_patens-26754,PUT-163a-Physcomitrella_patens-26797,PUT-163a-Physcomitrella_patens-50972,Ppa.7143,Predicted protein,UPI000162339B,XM_001768795,XM_001768795.1,XP_001768847,XP_001768847.1,ppp:PHYPADRAFT_233825
PP1S107_180V6.1	3218.PP1S107_180V6.1	http://smart.embl.de/smart/DDt.cgi?smart=369:	Predicted protein	5932175,A9SRC3,A9SRC3_PHYPA,EDQ66265.1,PHYPADRAFT_82929,PP1S107_180V6,PP1S107_180V6.1,Predicted protein,UPI0001622F8D,XM_001768859,XM_001768859.1,XP_001768911,XP_001768911.1,ppp:PHYPADRAFT_82929
PP1S108_180V6.1	3218.PP1S108_180V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=227:Pfam_Sld5(25|128)+Pfam_SLD5_C(173|227)+	DNA replication complex GINS protein SLD5; The GINS complex plays an essential role in the initiation of DNA replication	5932201,A9SRN0,A9SRN0_PHYPA,DNA replication complex GINS protein SLD5,EDQ66194.1,PHYPADRAFT_232587,PP1S108_180V6,PP1S108_180V6.1,Predicted protein,UPI000162319B,XM_001768944,XM_001768944.1,XP_001768996,XP_001768996.1,ppp:PHYPADRAFT_232587
PP1S109_145V6.1	3218.PP1S109_145V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=182:Pfam_RuBisCO_small(73|181)+	Ribulose bisphosphate carboxylase small chain; RuBisCO catalyzes two reactions: the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same active site; Belongs to the RuBisCO small chain family	4.1.1.39,5932293,A9SRS0,A9SRS0_PHYPA,EC 4.1.1.39,EDQ66113.1,PHYPADRAFT_233894,PP1S109_145V6,PP1S109_145V6.1,PUT-163a-Physcomitrella_patens-39927,PUT-163a-Physcomitrella_patens-40038,PUT-163a-Physcomitrella_patens-49518,Ribulose bisphosphate carboxylase small chain,UPI000162331C,XM_001768983,XM_001768983.1,XP_001769035,XP_001769035.1,ppp:PHYPADRAFT_233894
