#node	identifier	domain_summary_url	annotation	other_names_and_aliases
GSTF9	3218.PP1S83_192V6.3	https://smart.embl.de/smart/DDvec.cgi?smart=212:Pfam_GST_N(4|80)+Pfam_GST_C_3(100|211)+	Phi class glutathione S-transferase; Belongs to the GST superfamily	2.5.1.18,5929448,A9SIY1,A9SIY1_PHYPA,EC 2.5.1.18,EDQ68968.1,GSTF9,K9Y301,PHYPADRAFT_165160,PP1S83_192V6,PP1S83_192V6.1,PP1S83_192V6.2,PP1S83_192V6.3,PUT-163a-Physcomitrella_patens-20487,PUT-163a-Physcomitrella_patens-9754640,Phi class glutathione S-transferase,Ppa.5096,Predicted protein,UPI00016224E0,XM_001766284,XM_001766284.1,XP_001766336,XP_001766336.1,ppp:PHYPADRAFT_165160
PHOTA1	3218.PP1S174_62V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=1070:PAS(239|308)+PAC(314|356)+PAS(519|588)+PAC(594|636)+S_TKc(718|1019)+	PHOTA1 phototropin A1 blue light photoreceptor 	2.7.11.1,5937455,A9T6N7,E1C9R1,E1C9R1_PHYPA,EC 2.7.11.1,EDQ60892.1,PHOTA1,PHOTA1 phototropin A1 blue light photoreceptor,PHYPADRAFT_219412,PP1S174_62V6,PP1S174_62V6.1,PP1S174_62V6.2,PUT-163a-Physcomitrella_patens-43240,Phototropin,Ppa.13641,Q6BCU1,Q6BCU1_PHYPA,UPI00003FE58E,XM_001774204,XM_001774204.1,XP_001774256,XP_001774256.1,ppp:PHYPADRAFT_219412
PHOTB2	3218.PP1S509_6V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=1171:COIL(201|227)+PAS(337|406)+PAC(412|454)+PAS(628|697)+PAC(703|745)+S_TKc(827|1115)+	PHOTB2 phototropin B2 blue light photoreceptor 	2.7.11.1,5948931,A9U4E0,E1C9Z6,E1C9Z6_PHYPA,EC 2.7.11.1,EDQ49461.1,PHOTB2,PHOTB2 phototropin B2 blue light photoreceptor,PHYPADRAFT_228201,PP1S509_6V6,PP1S509_6V6.1,PUT-163a-Physcomitrella_patens-25245,Phototropin,Ppa.13640,Ppa.16997,Q6BCT7,Q6BCT7_PHYPA,UPI00003FE591,XM_001785674,XM_001785674.1,XP_001785726,XP_001785726.1,ppp:PHYPADRAFT_228201
PINA	3218.PP1S10_17V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=713:Pfam_Mem_trans(9|708)+	Auxin efflux carrier component; May act as a component of the auxin efflux carrier	5916928,A9RI03,Auxin efflux carrier component,E1C9S9,E1C9S9_PHYPA,EDQ81364.1,PHYPADRAFT_202504,PINA,PP1S10_17V6,PP1S10_17V6.1,PUT-163a-Physcomitrella_patens-24980,Q5TK28,Q5TK28_PHYPA,UPI000046F54E,XM_001753560,XM_001753560.1,XP_001753612,XP_001753612.1,pin,ppp:PHYPADRAFT_202504
POR1	3218.PP1S146_112V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=402:Pfam_adh_short(89|241)+	Predicted protein; Protochlorophyllide reductase chloroplast 	1.3.1.33,5935322,A9T0J9,AB120710,BAC87880.1,EC 1.3.1.33,EDQ63080.1,PHYPADRAFT_217750,POR1,PP1S146_112V6,PP1S146_112V6.1,PUT-163a-Physcomitrella_patens-2392,PUT-163a-Physcomitrella_patens-43568,PpPOR2,Ppa.119,Predicted protein,Protochlorophyllide reductase chloroplast,Q75WT5,Q75WT5_PHYPA,UPI00001CE3C5,XM_001772084,XM_001772084.1,XP_001772136,XP_001772136.1,hypothetical protein,ppp:PHYPADRAFT_217750
PP1S100_231V6.1	3218.PP1S100_231V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=209:SIGNAL(1|26)+Pfam_NAR2(30|207)+	Putative component of high affinity nitrate transporter	5931387,A9SPC3,E1C9X4,E1C9X4_PHYPA,EDQ67027.1,Nar2,PHYPADRAFT_165983,PP1S100_231V6,PP1S100_231V6.1,PP1S100_231V6.2,PP1S100_231V6.3,PUT-163a-Physcomitrella_patens-21054,Ppa.6407,Predicted protein,Q4LEX1,Q4LEX1_PHYPA,UPI000054B40B,XM_001768102,XM_001768102.1,XP_001768154,XP_001768154.1,ppp:PHYPADRAFT_165983
PP1S101_95V6.4	3218.PP1S101_95V6.4	https://smart.embl.de/smart/DDvec.cgi?smart=368:Pfam_PsbY(93|125)+TRANS(128|150)+Pfam_PsbY(161|194)+TRANS(207|226)+Pfam_PsbY(238|271)+TRANS(286|305)+Pfam_PsbY(320|354)+	PsbY photosystem II polypeptide 	5931458,A9SPH7,A9SPH7_PHYPA,EDQ66856.1,PHYPADRAFT_166016,PP1S101_95V6,PP1S101_95V6.1,PP1S101_95V6.2,PP1S101_95V6.3,PP1S101_95V6.4,PUT-163a-Physcomitrella_patens-10054641,PUT-163a-Physcomitrella_patens-35322,PUT-163a-Physcomitrella_patens-35324,PUT-163a-Physcomitrella_patens-35445,PUT-163a-Physcomitrella_patens-35446,PUT-163a-Physcomitrella_patens-36961,PUT-163a-Physcomitrella_patens-9754633,Ppa.4251,PsbY photosystem II polypeptide,UPI000162336F,XM_001768190,XM_001768190.1,XP_001768242,XP_001768242.1,ppp:PHYPADRAFT_166016
PP1S102_107V6.1	3218.PP1S102_107V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=289:Pfam_MIP(46|276)+	Predicted protein; Belongs to the MIP/aquaporin (TC 1.A.8) family	5931619,A9SPX3,A9SPX3_PHYPA,EDQ66794.1,PHYPADRAFT_166091,PP1S102_107V6,PP1S102_107V6.1,PUT-163a-Physcomitrella_patens-54354633,Ppa.4694,Predicted protein,UPI0001622F6B,XM_001768380,XM_001768380.1,XP_001768432,XP_001768432.1,ppp:PHYPADRAFT_166091
PP1S102_20V6.1	3218.PP1S102_20V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=383:Pfam_Beta_elim_lyase(17|305)+	Predicted protein	4.1.2.48,5931610,A9SPS8,A9SPS8_PHYPA,EC 4.1.2.48,EDQ66769.1,PHYPADRAFT_187197,PP1S102_20V6,PP1S102_20V6.1,Predicted protein,UPI0001622DD7,XM_001768355,XM_001768355.1,XP_001768407,XP_001768407.1,ppp:PHYPADRAFT_187197
PP1S104_62V6.1	3218.PP1S104_62V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=334:Pfam_Mito_carr(32|121)+Pfam_Mito_carr(143|233)+Pfam_Mito_carr(236|331)+	Predicted protein; Belongs to the mitochondrial carrier (TC 2.A.29) family	5931815,A9SQG3,A9SQG3_PHYPA,EDQ66515.1,PHYPADRAFT_187346,PP1S104_62V6,PP1S104_62V6.1,PP1S104_62V6.2,PUT-163a-Physcomitrella_patens-52279,Ppa.14181,Ppa.15033,Predicted protein,UPI0001622CD8,UPI00024AFEF6,XM_001768525,XM_001768525.1,XP_001768577,XP_001768577.1,ppp:PHYPADRAFT_187346
PP1S104_73V6.1	3218.PP1S104_73V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=201:Pfam_Oxidored_q6(75|185)+	Predicted protein; Belongs to the complex I 20 kDa subunit family	1.6.5.3,1.6.99.3,5931818,A9SQH1,A9SQH1_PHYPA,EC 1.6.5.3,EC 1.6.99.3,EDQ66589.1,PHYPADRAFT_106872,PP1S104_73V6,PP1S104_73V6.1,PUT-163a-Physcomitrella_patens-3614,Ppa.6019,Predicted protein,UPI0001622CE0,XM_001768599,XM_001768599.1,XP_001768651,XP_001768651.1,ppp:PHYPADRAFT_106872
PP1S104_88V6.3	3218.PP1S104_88V6.3	https://smart.embl.de/smart/DDvec.cgi?smart=356:Pfam_Glycolytic(11|356)+	Fructose-bisphosphate aldolase 	4.1.2.13,5931890,A9SQI1,A9SQI1_PHYPA,EC 4.1.2.13,EDQ66596.1,Fructose-bisphosphate aldolase,PHYPADRAFT_166170,PP1S104_88V6,PP1S104_88V6.1,PP1S104_88V6.2,PP1S104_88V6.3,PP1S104_88V6.4,PUT-163a-Physcomitrella_patens-10954641,PUT-163a-Physcomitrella_patens-11054632,PUT-163a-Physcomitrella_patens-36481,PUT-163a-Physcomitrella_patens-44336,PUT-163a-Physcomitrella_patens-44406,PUT-163a-Physcomitrella_patens-44407,PUT-163a-Physcomitrella_patens-9854637,Ppa.18192,Ppa.19016,Ppa.19463,Ppa.5380,Ppa.8171,UPI0001622CE9,XM_001768606,XM_001768606.1,XP_001768658,XP_001768658.1,ppp:PHYPADRAFT_166170
PP1S107_181V6.1	3218.PP1S107_181V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=164:Pfam_Ribosomal_L21e(3|99)+	Predicted protein	5932176,A9SRC4,A9SRC4_PHYPA,EDQ66313.1,PHYPADRAFT_106900,PP1S107_181V6,PP1S107_181V6.1,PUT-163a-Physcomitrella_patens-38042,PUT-163a-Physcomitrella_patens-39741,PUT-163a-Physcomitrella_patens-39954636,PUT-163a-Physcomitrella_patens-40254636,PUT-163a-Physcomitrella_patens-40254637,PUT-163a-Physcomitrella_patens-40254638,PUT-163a-Physcomitrella_patens-5633,Ppa.647,Predicted protein,UPI0001622F8E,XM_001768907,XM_001768907.1,XP_001768959,XP_001768959.1,ppp:PHYPADRAFT_106900
PP1S108_180V6.1	3218.PP1S108_180V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=227:Pfam_Sld5(25|128)+Pfam_SLD5_C(173|227)+	DNA replication complex GINS protein SLD5; The GINS complex plays an essential role in the initiation of DNA replication	5932201,A9SRN0,A9SRN0_PHYPA,DNA replication complex GINS protein SLD5,EDQ66194.1,PHYPADRAFT_232587,PP1S108_180V6,PP1S108_180V6.1,Predicted protein,UPI000162319B,XM_001768944,XM_001768944.1,XP_001768996,XP_001768996.1,ppp:PHYPADRAFT_232587
PP1S108_24V6.1	3218.PP1S108_24V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=1001:Pfam_Xpo1(111|264)+	Predicted protein	5932181,A9SRJ5,A9SRJ5_PHYPA,EDQ66174.1,PHYPADRAFT_134096,PP1S108_24V6,PP1S108_24V6.1,PUT-163a-Physcomitrella_patens-18286,Ppa.15712,Predicted protein,UPI0001623092,XM_001768924,XM_001768924.1,XP_001768976,XP_001768976.1,ppp:PHYPADRAFT_134096
PP1S108_5V6.1	3218.PP1S108_5V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=397:SIGNAL(1|23)+Pfam_Str_synth(184|271)+	Predicted protein	5932229,A9SRI8,A9SRI8_PHYPA,EDQ66199.1,PHYPADRAFT_82951,PP1S108_5V6,PP1S108_5V6.1,Predicted protein,UPI0001623014,XM_001768949,XM_001768949.1,XP_001769001,XP_001769001.1,ppp:PHYPADRAFT_82951
PP1S109_241V6.10	3218.PP1S109_241V6.10	https://smart.embl.de/smart/DDvec.cgi?smart=368:Pfam_IMPDH(207|322)+	Predicted protein	1.1.3.15,5932276,A9SRU3,A9SRU3_PHYPA,EC 1.1.3.15,EDQ66164.1,PHYPADRAFT_215053,PP1S109_241V6,PP1S109_241V6.1,PP1S109_241V6.10,PP1S109_241V6.11,PP1S109_241V6.2,PP1S109_241V6.3,PP1S109_241V6.4,PP1S109_241V6.5,PP1S109_241V6.6,PP1S109_241V6.7,PP1S109_241V6.8,PP1S109_241V6.9,PUT-163a-Physcomitrella_patens-2287,PUT-163a-Physcomitrella_patens-2289,PUT-163a-Physcomitrella_patens-2591,PUT-163a-Physcomitrella_patens-35638,PUT-163a-Physcomitrella_patens-36028,PUT-163a-Physcomitrella_patens-37394,PUT-163a-Physcomitrella_patens-3990,PUT-163a-Physcomitrella_patens-5192,PUT-163a-Physcomitrella_patens-5195,PUT-163a-Physcomitrella_patens-5197,PUT-163a-Physcomitrella_patens-5213,PUT-163a-Physcomitrella_patens-52154634,PUT-163a-Physcomitrella_patens-52154638,PUT-163a-Physcomitrella_patens-52154640,PUT-163a-Physcomitrella_patens-52154641,PUT-163a-Physcomitrella_patens-54854634,PUT-163a-Physcomitrella_patens-54954634,PUT-163a-Physcomitrella_patens-54954635,PUT-163a-Physcomitrella_patens-62254632,PWY-5458,Ppa.18085,Ppa.334,Ppa.7258,Predicted protein,UPI00016233A8,UPI00024AFF14,UPI00024AFF15,XM_001769034,XM_001769034.1,XP_001769086,XP_001769086.1,ppp:PHYPADRAFT_215053
PP1S109_35V6.1	3218.PP1S109_35V6.1	http://smart.embl.de/smart/DDt.cgi?smart=175:	Predicted protein	5932243,A9SRN9,A9SRN9_PHYPA,EDQ66099.1,PHYPADRAFT_215001,PP1S109_35V6,PP1S109_35V6.1,PP1S109_35V6.2,PUT-163a-Physcomitrella_patens-42577,PUT-163a-Physcomitrella_patens-7547,Ppa.5127,Predicted protein,UPI000162321B,UPI00024AFBFE,XM_001768969,XM_001768969.1,XP_001769021,XP_001769021.1,ppp:PHYPADRAFT_215001
PP1S10_102V6.1	3218.PP1S10_102V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=403:Pfam_Ribosomal_L4(24|266)+Pfam_Ribos_L4_asso_C(278|352)+	Predicted protein	5916828,A9RI50,A9RI50_PHYPA,EDQ81497.1,PHYPADRAFT_109466,PP1S10_102V6,PP1S10_102V6.1,PUT-163a-Physcomitrella_patens-10776,PUT-163a-Physcomitrella_patens-29964,PUT-163a-Physcomitrella_patens-46704,PUT-163a-Physcomitrella_patens-68854632,PUT-163a-Physcomitrella_patens-68854635,PUT-163a-Physcomitrella_patens-68854636,PUT-163a-Physcomitrella_patens-68854637,PUT-163a-Physcomitrella_patens-68854638,PUT-163a-Physcomitrella_patens-68854639,PUT-163a-Physcomitrella_patens-68854640,PUT-163a-Physcomitrella_patens-68954632,PUT-163a-Physcomitrella_patens-68954633,Ppa.19260,Ppa.252,Predicted protein,UPI000161F544,XM_001753693,XM_001753693.1,XP_001753745,XP_001753745.1,ppp:PHYPADRAFT_109466
PP1S10_369V6.1	3218.PP1S10_369V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=404:Pfam_Ribosomal_L4(25|267)+Pfam_Ribos_L4_asso_C(279|353)+	Predicted protein	5916964,A9RHY0,A9RHY0_PHYPA,EDQ81462.1,PHYPADRAFT_66462,PP1S10_369V6,PP1S10_369V6.1,PUT-163a-Physcomitrella_patens-1591,PUT-163a-Physcomitrella_patens-30687,PUT-163a-Physcomitrella_patens-30747,PUT-163a-Physcomitrella_patens-30748,Ppa.19243,Ppa.6462,Predicted protein,UPI000161F3AF,XM_001753658,XM_001753658.1,XP_001753710,XP_001753710.1,ppp:PHYPADRAFT_66462
PP1S10_392V6.2	3218.PP1S10_392V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=362:Pfam_GFO_IDH_MocA(5|127)+	Predicted protein	5916867,A9RHY9,A9RHY9_PHYPA,EDQ81467.1,PHYPADRAFT_175112,PP1S10_392V6,PP1S10_392V6.1,PP1S10_392V6.2,PP1S10_392V6.3,PP1S10_392V6.4,PUT-163a-Physcomitrella_patens-1425,PUT-163a-Physcomitrella_patens-47154632,PUT-163a-Physcomitrella_patens-48454641,PUT-163a-Physcomitrella_patens-762,Ppa.9555,Predicted protein,UPI000161F3B8,XM_001753663,XM_001753663.1,XP_001753715,XP_001753715.1,ppp:PHYPADRAFT_175112
PP1S112_267V6.1	3218.PP1S112_267V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=446:Pfam_ACT(128|183)+Pfam_ACT(338|400)+	Predicted protein	5932406,A9SSE7,A9SSE7_PHYPA,EDQ65948.1,PHYPADRAFT_187890,PP1S112_267V6,PP1S112_267V6.1,PUT-163a-Physcomitrella_patens-31018,PUT-163a-Physcomitrella_patens-46780,Ppa.10869,Ppa.5927,Predicted protein,UPI00016231A7,XM_001769184,XM_001769184.1,XP_001769236,XP_001769236.1,ppp:PHYPADRAFT_187890
PP1S113_128V6.1	3218.PP1S113_128V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=248:SIGNAL(1|25)+THN(28|244)+	Predicted protein	5932546,A9SSI6,A9SSI6_PHYPA,EDQ65887.1,PHYPADRAFT_234028,PP1S113_128V6,PP1S113_128V6.1,PUT-163a-Physcomitrella_patens-28520,Ppa.872,Predicted protein,UPI00016232AB,XM_001769281,XM_001769281.1,XP_001769333,XP_001769333.1,ppp:PHYPADRAFT_234028
PP1S114_10V6.1	3218.PP1S114_10V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=260:Lactamase_B(11|175)+Pfam_HAGH_C(176|257)+	Predicted protein	3.1.2.6,5932599,A9SSM2,A9SSM2_PHYPA,EC 3.1.2.6,EDQ65780.1,PHYPADRAFT_187954,PP1S114_10V6,PP1S114_10V6.1,PUT-163a-Physcomitrella_patens-54547,PUT-163a-Physcomitrella_patens-54549,PWY-5386,Ppa.814,Predicted protein,UPA00619,UPI00016233B7,XM_001769359,XM_001769359.1,XP_001769411,XP_001769411.1,ppp:PHYPADRAFT_187954
PP1S114_139V6.1	3218.PP1S114_139V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=635:COIL(558|587)+	Predicted protein	5932562,A9SSU4,A9SSU4_PHYPA,EDQ65817.1,PHYPADRAFT_166392,PP1S114_139V6,PP1S114_139V6.1,PP1S114_139V6.2,PUT-163a-Physcomitrella_patens-45751,PUT-163a-Physcomitrella_patens-50735,PUT-163a-Physcomitrella_patens-50736,Ppa.746,Predicted protein,UPI0001622D98,UPI00024AFC13,XM_001769396,XM_001769396.1,XP_001769448,XP_001769448.1,ppp:PHYPADRAFT_166392
PP1S116_27V6.2	3218.PP1S116_27V6.2	https://smart.embl.de/smart/DDvec.cgi?smart=270:Pfam_Abhydrolase_1(20|186)+	Predicted protein	5932821,A9ST85,A9ST85_PHYPA,EDQ65557.1,PHYPADRAFT_215526,PP1S116_27V6,PP1S116_27V6.1,PP1S116_27V6.2,PP1S116_27V6.3,PUT-163a-Physcomitrella_patens-861,Ppa.1503,Predicted protein,UPI000162323D,XM_001769512,XM_001769512.1,XP_001769564,XP_001769564.1,ppp:PHYPADRAFT_215526
PP1S116_32V6.1	3218.PP1S116_32V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=148:PH(25|125)+	Predicted protein	5932788,A9ST88,A9ST88_PHYPA,EDQ65605.1,PHYPADRAFT_166433,PP1S116_32V6,PP1S116_32V6.1,PUT-163a-Physcomitrella_patens-39267,Predicted protein,UPI0001623240,XP_001769612,XP_001769612.1,ppp:PHYPADRAFT_166433
PP1S116_49V6.1	3218.PP1S116_49V6.1	https://smart.embl.de/smart/DDvec.cgi?smart=348:Pfam_TPT(14|297)+	Predicted protein	5932825,A9ST95,A9ST95_PHYPA,EDQ65561.1,PHYPADRAFT_83692,PP1S116_49V6,PP1S116_49V6.1,PP1S116_49V6.2,PUT-163a-Physcomitrella_patens-12548,Predicted protein,UPI0001623247,XM_001769516,XM_001769516.1,XP_001769568,XP_001769568.1,ppp:PHYPADRAFT_83692
